"간선도로 지점별(1)",2023,2024
"진흥로(구기터널)",41213,39983
"평창문화로(북악터널)",41115,...
"동호로(금호터널)",61995,63601
"서빙고로(한남역)",84799,83438
"천호대로(군자교)",79570,80507
"뚝섬로(용비교)",63788,64176
"동일로(군자교)",64010,63264
"화랑로(상월곡역)",67943,70766
"동소문로(길음교사거리)",56064,57221
"화랑로(화랑대역)",67004,65526
"도봉로(쌍문역)",42409,41451
"동부간선도로(월계1교)",123690,120627
"동일로(노원역)",37442,36589
"증산로(디지털미디어시티역)",64804,65274
"통일로(산골고개정류장)",66301,66119
"성산로(연희IC)",77980,77375
"연희로(연희IC)",36706,36286
"남부순환도로(화곡로입구교차로)",69470,70162
"남부순환로(신월IC)",109544,109329
"강서로(화곡터널)",37562,40458
"공항대로(발산역)",50477,49388
"경인로(오류IC)",47089,47830
"경인로(거리공원입구교차로)",49291,49117
"시흥대로(시흥IC)",74397,73791
"영등포로(오목교)",57412,56528
"시흥대로(구로디지털단지역)",64199,...
"국회대로(여의2교)",49704,51929
"경인로(서울교)",91117,84953
"여의대방로(여의교)",82005,81455
"양녕로(상도터널)",68934,69112
"동작대로(총신대입구역)",82544,80282
"문성로(난곡터널)",14811,16823
"남부순환로(낙성대역)",89886,85781
"남부순환로(예술의전당)",82012,81959
"강남대로(강남역-신분당)",54695,55972
"사평대로(고속터미널역)",84911,...
"반포대로(서초역)",78319,78553
"언주로(매봉터널)",59753,58726
"남부순환로(수서IC)",103973,102087
"헌릉로(세곡동사거리)",64245,64791
"노들로",57953,52350
"테헤란로(선릉역)",67750,...
"강남대로(신사역)",75840,75123
"백제고분로(종합운동장)",36669,35982
"송파대로(송파역)",76885,76963
"서부간선도로(오목교)",104339,108073
